,game,date,player_name,over,over_odds,under,under_odds
0,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Brandon Ingram,Over 27.5,+100,Under 27.5,-121
1,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Lonzo Ball,Over 15.5,+110,Under 15.5,-134
2,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Derrick Favors,Over 12.5,+100,Under 12.5,-121
3,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Josh Hart,Over 11.5,-110,Under 11.5,-110
4,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Kawhi Leonard,Over	 30.5,-110,Under 30.5,-110
5,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Patrick Beverley,Over 9.5,-121,Under 9.5,+100
6,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Ivica Zubac,Over 9.5,+100,Under 9.5,-121
7,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Landry Shamet,Over 9.5,-134,Under 9.5,+110
8,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Louis Williams,Over 22.5,-110,Under 22.5,-110
9,Los Angeles Clippers @ New Orleans Pelicans,2020-01-18,Montrezl Harrell,Over 20.5,-110,Under 20.5,-110
10,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Giannis Antetokounmpo,Over 30.5,-106,Under 30.5,-115
11,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Khris Middleton,Over 20.5,+122,Under 20.5,-148
12,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Brook Lopez,Over 10.5,-120,Under 10.5,-103
13,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Eric Bledsoe,Over 14.5,-125,Under 14.5,+104
14,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Kyrie Irving,Over 23.5,-134,Under 23.5,+110
15,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Taurean Prince,Over 12.5,-107,Under 12.5,-114
16,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Jarrett Allen,Over 11.5,-104,Under 11.5,-118
17,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Spencer Dinwiddie,Over 22.5,+122,Under 22.5,-148
18,Milwaukee Bucks @ Brooklyn Nets,2020-01-18,Wesley Matthews,Over 6.5,-114,Under 6.5,-107
19,Phoenix Suns @ Boston Celtics,2020-01-18,Devin Booker,Over 28.5,-103,Under 28.5,-120
20,Phoenix Suns @ Boston Celtics,2020-01-18,Ricky Rubio,Over 14.5,-122,Under 14.5,+101
21,Phoenix Suns @ Boston Celtics,2020-01-18,DeAndre Ayton,Over 17.5,-114,Under 17.5,-107
22,Phoenix Suns @ Boston Celtics,2020-01-18,Mikal Bridges,Over 10.5,-106,Under 10.5,-115
23,Philadelphia 76ers @ New York Knicks,2020-01-18,Julius Randle,Over	 21.5,-120,Under 21.5,-103
24,Philadelphia 76ers @ New York Knicks,2020-01-18,Marcus Morris,Over 17.5,-134,Under 17.5,+110
25,Philadelphia 76ers @ New York Knicks,2020-01-18,Elfrid Payton,Over 9.5,-110,Under 9.5,-110
26,Philadelphia 76ers @ New York Knicks,2020-01-18,Tobias Harris,Over 20.5,-117,Under 20.5,-105
27,Philadelphia 76ers @ New York Knicks,2020-01-18,Ben Simmons,Over 17.5,-110,Under 17.5,-110
28,Philadelphia 76ers @ New York Knicks,2020-01-18,Al Horford,Over 13.5,-110,Under 13.5,-110
29,Philadelphia 76ers @ New York Knicks,2020-01-18,Josh Richardson,Over 17.5,-114,Under 17.5,-107
30,Detroit Pistons @ Atlanta Hawks,2020-01-18,Andre Drummond,Over 18.5,-114,Under 18.5,-107
31,Detroit Pistons @ Atlanta Hawks,2020-01-18,Derrick Rose,Over 23.5,+115,Under 23.5,-139
32,Detroit Pistons @ Atlanta Hawks,2020-01-18,Tony Snell,Over 8.5,+104,Under 8.5,-125
33,Detroit Pistons @ Atlanta Hawks,2020-01-18,Bruce Brown Jr.,Over 10.5,-104,Under 10.5,-118
34,Detroit Pistons @ Atlanta Hawks,2020-01-18,Sekou Doumbouya,Over 12.5,-103,Under 12.5,-120
35,Detroit Pistons @ Atlanta Hawks,2020-01-18,Trae Young,Over 27.5,-103,Under 27.5,-120
36,Detroit Pistons @ Atlanta Hawks,2020-01-18,De'Andre Hunter,Over 10.5,-120,Under 10.5,-103
37,Detroit Pistons @ Atlanta Hawks,2020-01-18,John Collins,Over 17.5,-125,Under 17.5,+104
38,Detroit Pistons @ Atlanta Hawks,2020-01-18,Kevin Huerter,Over 13.5,-110,Under 13.5,-110
39,Cleveland Cavaliers @ Chicago Bulls,2020-01-18,Tomas Satoransky,Over 10.5,-118,Under 10.5,-104
40,Cleveland Cavaliers @ Chicago Bulls,2020-01-18,Lauri Markkanen,Over 15.5,-120,Under 15.5,-103
41,Cleveland Cavaliers @ Chicago Bulls,2020-01-18,Zach LaVine,Over 28.5,+115,Under 28.5,-139
42,Los Angeles Lakers @ Houston Rockets,2020-01-18,Russell Westbrook,Over 26.5,-104,Under 26.5,-118
43,Los Angeles Lakers @ Houston Rockets,2020-01-18,PJ Tucker,Over 5.5,-125,Under 5.5,+104
44,Los Angeles Lakers @ Houston Rockets,2020-01-18,Clint Capela,Over 13.5,-114,Under 13.5,-107
45,Los Angeles Lakers @ Houston Rockets,2020-01-18,James Harden,Over 34.5,-121,Under 34.5,+100
46,Los Angeles Lakers @ Houston Rockets,2020-01-18,Ben McLemore,Over 11.5,-110,Under 11.5,-110
47,Los Angeles Lakers @ Houston Rockets,2020-01-18,LeBron James,Over 27.5,-120,Under 27.5,-103
48,Sacramento Kings @ Utah Jazz,2020-01-18,Nemanja Bjelica,Over 13.5,+115,Under 13.5,-139
49,Sacramento Kings @ Utah Jazz,2020-01-18,Buddy Hield,Over 19.5,-106,Under 19.5,-115
50,Sacramento Kings @ Utah Jazz,2020-01-18,Harrison Barnes,Over 13.5,-110,Under 13.5,-110
51,Sacramento Kings @ Utah Jazz,2020-01-18,De'Aaron Fox,Over 19.5,+100,Under 19.5,-121
52,Sacramento Kings @ Utah Jazz,2020-01-18,Marvin Bagley III,Over 15.5,-104,Under 15.5,-118
53,Sacramento Kings @ Utah Jazz,2020-01-18,Donovan Mitchell,Over 23.5,-117,Under 23.5,-105
54,Sacramento Kings @ Utah Jazz,2020-01-18,Rudy Gobert,Over 14.5,-121,Under 14.5,+100
55,Sacramento Kings @ Utah Jazz,2020-01-18,Bojan BogdanoviÄ‡,Over 21.5,-105,Under 21.5,-117
